Core_Formula,Shell_Formula,Consensus_Quality,XGB_Quality,ET_Quality,Verification_Agreement_%,Core_Eg_nano_3nm_eV,Shell_Eg_bulk_eV,Total_Confinement_eV,Dielectric_Contrast_Ratio,Defect_Gradient_eV,Confinement_Asymmetry
Ba3Zr2S7,AlPO4,0.5858666872008694,0.6425426,0.5008527574499579,75.21594920247435,1.082816997726819,5.6178,4.535,18.451546239574878,-0.9777696611210308,0.0905402425578831
Ag5Hg4P8Cl5,AlCl3,0.5858604168659234,0.63620186,0.5103481947794021,78.0465469642806,1.1877514264394422,5.274,4.0863,17.651964964854024,-1.5765462262283547,-0.2044147517313951
Ba(ErTe2)2,Ba3Si2(B3O8)2,0.5858005783946996,0.63735014,0.5084761733789457,77.50549679419744,1.0403169977268183,5.4031,4.3628,17.227122381477397,-1.384070443716933,0.1753919501237737
Ba3In2O6,Ba3B6H2O13,0.5857947225954,0.64242035,0.5008562047247748,75.23536260599771,1.107916997726819,5.0891,3.9812,15.483711135885049,-0.3805514935890151,0.175324022907666
Ba2InBiSe5,Ba(PO3)2,0.585758943812592,0.6399569,0.5044619477206049,76.32074216743258,1.316416997726819,5.4349,4.1185,17.40684437120676,-1.510833658155587,0.2198616000971227
Ba(SmTe2)2,Ba3ZnB5PO14,0.5857257072223311,0.65056956,0.4884598712357593,71.53546998409243,1.051116997726819,4.8405000000000005,3.7894,15.63042719367385,-1.2221406782043625,-0.2696996886050562
Ba4Sb2O,Ba3Tm(BO2)9,0.5854707643648559,0.62895703,0.5202413313737945,81.07973259639843,0.8908169977268193,5.2676,4.3768,16.467591779378182,-1.542064869320277,-0.0653902394443429
Ba2Tl2O5,Al2Pb3F12,0.5851938762250035,0.6388825,0.5046608393347486,76.5253013555211,1.0156169977268188,5.2252,4.2096,16.232185176768496,-1.2809147898801745,0.1996389205625237
Ba(LuTe2)2,Al2Pb3F12,0.5850745600843692,0.65714073,0.47697525779015415,68.22803387426947,1.3820169977268193,5.2252,3.8432,16.232185176768496,-1.5078743368907568,-0.3302976686094921
Ba2Mn3(SeO3)6,Ba2B11H7O22,0.5848690967834235,0.6418101,0.49945751852697134,75.05359901125459,1.241516997726819,5.6652,4.4237,18.725422882466763,-0.7309006829909526,0.1862920179939869
Ba(GdSe2)2,Ba2YC2(O2F)3,0.5847198966397024,0.6543592,0.48026084980695855,69.31160023331651,1.481060739031996,5.263999999999999,3.783,16.447548766982095,-0.940875274017861,0.291726143272535
Ba2CrO4,Ba3B6O11F2,0.5847170970682487,0.6352673,0.5088917220245264,77.90943550195607,0.7966169977268195,5.252710526336427,4.4561,16.384847293223228,-0.4754581531168811,-0.1504678979376584
Ba3In2O6,Ba2Li(BO2)5,0.5846451457779072,0.6390426,0.5030488810043687,76.18514186369916,1.107916997726819,4.951700000000001,3.8438,14.739986635745453,-0.5304655148274415,0.003173942452781
Ba2PuZnO6,Ba3Si2(B3O8)2,0.584528832580913,0.6323631,0.5127774152812086,79.1142368839823,0.9139169977268192,5.4031,4.4892,17.227122381477397,-0.2881899568657422,-0.0695892363895571
Ba2Tl2O5,Ba3B6O11F2,0.5845021126877734,0.6394809,0.5020339335529679,75.9184983683328,1.0156169977268188,5.252710526336427,4.2371,16.384847293223228,-1.2426034607491574,0.2417927355974604
Ba2Ni(PO4)2,Ba2HoCl7,0.584475097746055,0.6399093,0.501323709116381,75.71300277430753,1.1930169977268188,5.4559,4.2629,17.526026148831015,0.0508755545604397,-0.2144314903000304
Ag3AsSe3,Al2H16S3O20,0.5844535387911826,0.64339256,0.4960449430739952,74.13677906439776,1.146016997726819,5.6055,4.4595,18.38077615890793,-1.430730581469404,-0.2613073214485928
Ba3AlAs3,Al2H16S3O20,0.584437340120126,0.6603556,0.4705598940939934,66.4350289986122,1.1875169977268192,5.6055,4.417999999999999,18.38077615890793,-0.6906538203310091,-0.3415572657311
Ba3AlAs3,Ba2HoCl7,0.5844248570712779,0.62928015,0.5171419028720196,80.4368300854085,1.1875169977268192,5.4559,4.2684,17.526026148831015,-1.8246346389285704,-0.1639490207103364
