Material_Pair,Design_Thickness_nm,Design_Trap_Depth_eV,Voltage_Applied_V,Voltage_Effective_V,J_OFF_A_m2,J_ON_A_m2,I_OFF_A,I_ON_A
Candidate_0,4.0,0.8,1.8,1.8,1091.6400275488384,1144.3889785871297,1.0916400275488384e-11,1.1443889785871297e-11
Candidate_0,4.0,0.8,1.85,1.85,2028.442672326639,2101.770653232561,2.028442672326639e-11,2.101770653232561e-11
Candidate_0,4.0,0.8,1.9,1.9,3633.923870233507,3735.3728171653074,3.633923870233507e-11,3.7353728171653075e-11
Candidate_0,4.0,0.8,1.95,1.95,6248.152221321486,6387.863938044322,6.248152221321486e-11,6.387863938044321e-11
Candidate_0,4.0,0.8,2.0,2.0,10354.570730752708,10546.131019704233,1.0354570730752708e-10,1.0546131019704233e-10
Candidate_0,4.0,0.8,2.05,2.05,16633.69397968276,16895.235268298977,1.6633693979682762e-10,1.6895235268298975e-10
Candidate_0,4.0,0.8,2.1,2.1,26026.55149610763,26382.18872096568,2.602655149610763e-10,2.638218872096568e-10
Candidate_0,4.0,0.8,2.15,2.15,39810.20035693559,40291.895319392206,3.9810200356935586e-10,4.0291895319392205e-10
Candidate_0,4.0,0.8,2.2,2.2,59687.59173012862,60337.56688694444,5.968759173012862e-10,6.033756688694444e-10
Candidate_0,4.0,0.8,2.25,2.25,87893.59429655013,88767.44929962633,8.789359429655013e-10,8.876744929962633e-10
Candidate_0,4.0,0.8,2.3,2.3,127318.59906312899,128489.32392002357,1.27318599063129e-09,1.2848932392002357e-09
Candidate_0,4.0,0.8,2.35,2.35,181650.86473714348,183213.99420598865,1.8165086473714348e-09,1.8321399420598865e-09
Candidate_0,4.0,0.8,2.4,2.4,255538.53885506853,257618.75604456905,2.5553853885506854e-09,2.5761875604456906e-09
Candidate_0,4.0,0.8,2.45,2.45,354772.0667195788,357531.64281971334,3.547720667195788e-09,3.5753164281971334e-09
Candidate_0,4.0,0.8,2.5,2.5,486487.46562363696,490137.0208998618,4.864874656236369e-09,4.901370208998618e-09
Candidate_0,4.0,0.8,2.55,2.55,659390.6966466109,664202.8897598669,6.593906966466108e-09,6.642028897598668e-09
Candidate_0,4.0,0.8,2.6,2.6,884003.1157247503,890330.01955092,8.840031157247503e-09,8.9033001955092e-09
Candidate_0,4.0,0.8,2.65,2.65,1172927.7357787476,1181222.8448523788,1.1729277357787476e-08,1.1812228448523788e-08
Candidate_0,4.0,0.8,2.7,2.7,1541135.788055242,1551981.8336610051,1.541135788055242e-08,1.551981833661005e-08
Candidate_0,4.0,0.8,2.75,2.75,2006272.8383731667,2020416.8720135225,2.006272838373167e-08,2.0204168720135226e-08
Candidate_0,4.0,0.8,2.8,2.8,2588983.4967088825,2607381.0531595005,2.5889834967088825e-08,2.6073810531595004e-08
Candidate_0,4.0,0.8,2.85,2.85,3313253.559765213,3337124.141708201,3.313253559765213e-08,3.337124141708201e-08
Candidate_0,4.0,0.8,2.9,2.9,4206768.248360322,4237664.9032404525,4.206768248360322e-08,4.237664903240452e-08
Candidate_0,4.0,0.8,2.95,2.95,5301285.046447834,5341181.453992258,5.301285046447834e-08,5.341181453992258e-08
